,Left_ch,Right_ch,time
0,5.52,6.82,1688373158.169
1,4.11,2.99,1688373158.175
2,3.57,-0.83,1688373158.181
3,4.44,-0.18,1688373158.184
4,5.19,1.48,1688373158.184
5,5.23,2.02,1688373158.184
6,3.89,2.96,1688373158.187
7,0.4,2.6,1688373158.191
8,-2.24,1.84,1688373158.197
9,-2.31,4.98,1688373158.199
10,-3.39,9.34,1688373158.204
11,-1.8,12.04,1688373158.208
12,0.83,13.13,1688373158.211
13,2.56,10.42,1688373158.218
14,4.72,7.64,1688373158.22
15,3.25,4.47,1688373158.223
16,0.83,1.48,1688373158.225
17,-1.26,0.9,1688373158.236
18,-0.72,0.04,1688373158.238
19,1.23,0.25,1688373158.241
20,2.45,0.83,1688373158.251
21,1.23,1.84,1688373158.255
22,-0.14,2.45,1688373158.255
23,0.58,3.57,1688373158.258
24,3.82,4.98,1688373158.27
25,7.28,9.2,1688373158.272
26,8.62,10.24,1688373158.273
27,4.94,10.28,1688373158.275
28,-0.87,8.62,1688373158.286
29,-6.74,4.72,1688373158.289
30,-8.26,0.97,1688373158.289
31,-5.77,-0.29,1688373158.291
32,-1.8,2.09,1688373158.293
33,1.98,6.82,1688373158.296
34,1.84,9.2,1688373158.303
35,0.72,9.16,1688373158.306
36,0.22,9.45,1688373158.31
37,2.27,9.16,1688373158.313
38,7.0,10.78,1688373158.315
39,8.62,12.22,1688373158.322
40,8.98,11.29,1688373158.323
41,6.89,8.26,1688373158.326
42,4.51,7.72,1688373158.329
43,4.87,8.8,1688373158.331
44,4.15,10.24,1688373158.339
45,4.51,10.57,1688373158.344
46,4.04,8.65,1688373158.348
47,6.56,6.42,1688373158.356
48,7.79,4.76,1688373158.357
49,11.03,5.3,1688373158.361
50,10.85,8.29,1688373158.363
51,9.52,12.8,1688373158.367
52,8.11,15.65,1688373158.368
53,8.47,15.65,1688373158.373
54,7.5,13.77,1688373158.377
55,7.36,11.72,1688373158.38
56,6.09,8.91,1688373158.381
57,3.71,10.39,1688373158.393
58,3.1,10.46,1688373158.445
59,1.84,7.5,1688373158.446
60,0.79,4.62,1688373158.456
61,1.19,1.77,1688373158.463
62,2.34,1.59,1688373158.463
63,5.41,4.44,1688373158.463
64,8.08,8.51,1688373158.464
65,10.42,12.55,1688373158.464
66,10.13,14.64,1688373158.464
67,6.53,17.63,1688373158.464
68,1.44,18.1,1688373158.464
69,-2.92,19.08,1688373158.467
70,-4.44,16.91,1688373158.467
71,-3.07,17.13,1688373158.467
72,0.94,16.52,1688373158.467
73,4.54,19.26,1688373158.467
74,6.71,18.86,1688373158.467
75,7.61,19.04,1688373158.47
76,6.56,16.34,1688373158.471
77,4.58,17.06,1688373158.471
78,2.42,14.96,1688373158.482
79,0.76,13.67,1688373158.484
80,1.12,10.35,1688373158.489
81,3.28,6.27,1688373158.489
82,4.58,3.53,1688373158.499
83,4.62,3.43,1688373158.499
84,7.1,3.39,1688373158.502
85,9.38,2.56,1688373158.507
86,13.45,1.62,1688373158.507
87,14.5,3.14,1688373158.511
88,14.78,9.41,1688373158.515
89,12.55,17.02,1688373158.52
90,12.66,23.58,1688373158.523
91,13.63,22.61,1688373158.53
92,15.61,16.34,1688373158.533
93,17.49,9.99,1688373158.538
94,18.5,11.9,1688373158.541
95,21.49,17.02,1688373158.548
96,23.69,23.76,1688373158.553
97,23.73,24.63,1688373158.555
98,19.44,18.1,1688373158.557
99,11.18,12.4,1688373158.56
100,3.32,7.86,1688373158.56
101,-2.38,5.91,1688373158.567
102,-2.45,7.32,1688373158.57
103,-0.5,7.64,1688373158.575
104,3.07,8.51,1688373158.586
105,4.76,11.21,1688373158.588
106,7.18,10.75,1688373158.59
107,9.81,12.84,1688373158.595
108,12.95,14.03,1688373158.595
109,12.73,11.5,1688373158.601
110,8.37,9.95,1688373158.607
111,0.32,6.96,1688373158.608
112,-5.19,3.86,1688373158.61
113,-7.72,4.72,1688373158.618
114,-7.86,5.99,1688373158.62
115,-9.23,1.77,1688373158.622
116,-15.72,-3.79,1688373158.65
117,-22.65,-10.78,1688373158.654
118,-25.75,-12.15,1688373158.658
119,-25.13,-7.5,1688373158.663
120,-19.98,-3.5,1688373158.663
121,-16.77,0.4,1688373158.664
122,-16.8,0.65,1688373158.665
123,-18.53,0.72,1688373158.665
124,-19.11,3.28,1688373158.666
125,-17.56,10.06,1688373158.666
126,-15.22,15.18,1688373158.666
127,-14.21,16.48,1688373158.671
128,-13.74,17.02,1688373158.673
129,-14.03,13.13,1688373158.676
130,-10.64,11.61,1688373158.683
131,-7.1,9.41,1688373158.69
132,-3.93,6.64,1688373158.691
133,-4.65,1.48,1688373158.694
134,-7.32,-3.46,1688373158.698
135,-8.01,-4.94,1688373158.699
136,-4.9,-0.79,1688373158.71
137,2.34,7.0,1688373158.716
138,5.73,11.18,1688373158.717
139,6.35,11.03,1688373158.724
140,1.69,3.39,1688373158.731
141,-3.28,-3.5,1688373158.733
142,-5.16,-6.35,1688373158.733
143,-2.78,-3.71,1688373158.741
144,-0.94,2.24,1688373158.743
145,0.04,8.37,1688373158.747
146,0.32,10.2,1688373158.749
147,0.9,8.94,1688373158.751
148,4.47,6.74,1688373158.761
149,8.94,4.58,1688373158.786
150,10.1,4.98,1688373158.825
151,8.65,4.51,1688373158.825
152,2.96,3.46,1688373158.829
153,-1.51,1.95,1688373158.83
154,-2.6,0.54,1688373158.83
155,2.81,4.33,1688373158.83
156,10.75,10.1,1688373158.83
157,18.82,18.35,1688373158.831
158,19.0,20.34,1688373158.831
159,12.3,21.64,1688373158.831
160,2.42,19.26,1688373158.831
161,-4.58,16.3,1688373158.831
162,-5.88,16.88,1688373158.831
163,-6.31,15.04,1688373158.831
164,-6.49,9.88,1688373158.831
165,-6.6,4.54,1688373158.831
166,2.78,3.03,1688373158.838
167,19.91,10.13,1688373158.838
168,40.35,21.67,1688373158.838
169,51.67,31.8,1688373158.839
170,51.28,31.3,1688373158.847
171,45.26,24.45,1688373158.851
172,43.92,16.59,1688373158.852
173,48.18,15.0,1688373158.853
174,53.8,13.63,1688373158.854
175,53.33,10.31,1688373158.866
176,46.23,1.8,1688373158.868
177,39.41,-6.89,1688373158.87
178,37.61,-4.44,1688373158.881
179,40.75,3.21,1688373158.882
180,43.7,16.34,1688373158.889
181,44.21,19.4,1688373158.89
182,39.27,14.53,1688373158.898
183,32.53,5.55,1688373158.899
184,27.59,1.62,1688373158.9
185,24.85,5.48,1688373158.904
186,24.23,10.24,1688373158.906
187,25.21,13.92,1688373158.909
188,26.68,10.89,1688373158.917
189,26.54,6.17,1688373158.921
190,27.41,5.01,1688373158.923
191,27.48,7.21,1688373158.926
192,26.9,8.19,1688373158.935
193,24.52,4.0,1688373158.939
194,19.62,-2.38,1688373158.943
195,15.36,-9.45,1688373158.943
196,13.74,-10.2,1688373158.944
197,16.01,-4.51,1688373158.953
198,19.58,1.91,1688373158.957
199,23.51,9.92,1688373158.958
200,21.24,12.4,1688373158.96
201,14.24,9.81,1688373158.968
202,6.09,7.21,1688373158.969
203,0.94,4.04,1688373158.971
204,1.91,1.77,1688373158.977
205,8.26,4.87,1688373158.988
206,17.53,9.38,1688373158.991
207,24.52,16.01,1688373158.998
208,26.04,19.76,1688373158.998
209,25.17,18.28,1688373159.005
210,21.67,14.93,1688373159.008
211,16.34,7.1,1688373159.009
212,12.87,3.32,1688373159.012
213,10.2,7.57,1688373159.021
214,9.59,15.9,1688373159.023
215,10.42,23.76,1688373159.025
216,13.77,26.22,1688373159.031
217,17.13,23.94,1688373159.032
218,19.22,14.35,1688373159.04
219,18.93,8.87,1688373159.042
220,14.21,4.65,1688373159.046
221,5.7,5.48,1688373159.046
222,0.61,11.32,1688373159.048
223,-1.12,24.2,1688373159.058
224,2.16,36.6,1688373159.061
225,4.04,40.71,1688373159.063
226,-0.72,37.72,1688373159.065
227,-10.57,26.18,1688373159.073
228,-19.72,18.86,1688373159.076
229,-23.19,23.33,1688373159.082
230,-20.88,32.24,1688373159.082
231,-18.21,36.56,1688373159.092
232,-18.5,34.83,1688373159.096
233,-20.41,26.86,1688373159.098
234,-19.04,21.71,1688373159.099
235,-15.0,23.08,1688373159.101
236,-10.89,22.93,1688373159.112
237,-9.48,23.29,1688373159.114
238,-12.22,21.46,1688373159.116
239,-12.95,18.93,1688373159.117
240,-9.81,23.01,1688373159.126
241,-3.07,28.7,1688373159.127
242,3.75,32.81,1688373159.181
243,6.6,32.92,1688373159.183
244,4.44,27.33,1688373159.198
245,1.44,22.39,1688373159.2
246,-1.59,21.1,1688373159.2
247,-4.0,20.3,1688373159.2
248,-6.2,22.39,1688373159.2
249,-10.28,21.31,1688373159.201
250,-12.66,16.95,1688373159.201
251,-11.07,15.51,1688373159.201
252,-5.7,23.11,1688373159.202
253,2.99,30.83,1688373159.202
254,5.91,36.6,1688373159.202
255,3.57,32.74,1688373159.203
256,-4.69,21.17,1688373159.203
257,-13.99,6.96,1688373159.203
258,-19.69,-1.98,1688373159.203
259,-19.76,-2.13,1688373159.204
260,-16.84,3.07,1688373159.205
261,-10.39,10.06,1688373159.206
262,-7.93,13.49,1688373159.214
263,-7.83,12.73,1688373159.219
264,-10.89,4.65,1688373159.223
265,-14.46,-3.64,1688373159.231
266,-12.08,-8.98,1688373159.233
267,-6.89,-9.41,1688373159.236
268,1.73,-6.74,1688373159.24
269,7.68,-3.28,1688373159.243
270,8.73,0.87,1688373159.25
271,7.07,6.06,1688373159.251
272,5.23,12.77,1688373159.253
273,3.32,16.15,1688373159.256
274,5.12,15.87,1688373159.294
275,6.45,11.65,1688373159.296
276,6.67,6.64,1688373159.297
277,8.73,6.38,1688373159.303
278,9.05,7.97,1688373159.304
279,9.56,7.36,1688373159.307
280,9.84,6.38,1688373159.31
281,10.49,5.7,1688373159.311
282,10.28,7.14,1688373159.311
283,11.25,14.39,1688373159.311
284,12.87,20.27,1688373159.311
285,10.75,26.11,1688373159.311
286,8.29,23.19,1688373159.311
287,1.55,18.35,1688373159.319
288,-4.62,11.54,1688373159.32
289,-6.96,8.73,1688373159.323
290,-3.86,10.31,1688373159.328
291,4.0,13.31,1688373159.328
292,12.69,15.4,1688373159.33
293,17.74,11.5,1688373159.338
294,17.31,4.18,1688373159.339
295,13.85,-0.97,1688373159.341
296,9.12,-4.9,1688373159.343
297,8.44,-4.4,1688373159.354
298,8.22,0.32,1688373159.356
299,7.83,2.96,1688373159.361
300,5.19,3.71,1688373159.363
301,4.51,2.99,1688373159.371
302,6.02,4.33,1688373159.374
303,11.68,7.46,1688373159.376
304,18.07,13.34,1688373159.378
305,21.28,17.24,1688373159.381
306,20.41,18.28,1688373159.389
307,16.15,12.69,1688373159.393
308,12.77,8.94,1688373159.397
309,9.34,6.82,1688373159.407
310,7.79,9.27,1688373159.409
311,10.1,13.63,1688373159.415
312,12.48,16.95,1688373159.416
313,15.83,14.17,1688373159.416
314,15.87,11.0,1688373159.417
315,12.73,8.83,1688373159.429
316,8.69,8.73,1688373159.434
317,4.83,10.28,1688373159.434
318,3.21,8.8,1688373159.436
319,4.47,5.88,1688373159.441
320,5.05,2.74,1688373159.445
321,4.69,5.41,1688373159.447
322,1.98,8.58,1688373159.453
323,-2.06,12.87,1688373159.459
324,-4.69,13.74,1688373159.46
325,-5.08,10.67,1688373159.464
326,-3.28,7.14,1688373159.466
327,-0.87,1.55,1688373159.468
328,0.43,-0.94,1688373159.477
329,3.5,1.73,1688373159.478
330,8.29,7.1,1688373159.481
331,16.88,12.26,1688373159.483
332,29.71,22.54,1688373159.495
333,47.56,34.37,1688373159.521
334,68.26,54.05,1688373159.549
335,87.7,76.09,1688373159.564
336,104.5,94.22,1688373159.565
337,118.02,105.8,1688373159.567
338,129.6,115.54,1688373159.568
339,143.45,128.45,1688373159.568
340,154.12,142.04,1688373159.568
341,158.09,152.17,1688373159.568
342,154.88,150.15,1688373159.568
343,148.13,145.11,1688373159.569
344,142.22,137.24,1688373159.573
345,141.36,136.52,1688373159.573
346,142.11,138.22,1688373159.573
347,141.86,136.99,1688373159.573
348,139.05,132.05,1688373159.574
349,137.71,127.0,1688373159.574
350,140.89,128.19,1688373159.574
351,147.45,132.38,1688373159.574
352,152.68,140.42,1688373159.574
353,154.88,147.59,1688373159.584
354,156.28,149.94,1688373159.585
355,160.65,151.74,1688373159.591
356,172.91,155.82,1688373159.592
357,182.21,158.41,1688373159.599
358,180.8,161.58,1688373159.6
359,168.62,158.05,1688373159.603
360,155.63,153.0,1688373159.609
361,155.27,146.55,1688373159.61
362,164.69,141.07,1688373159.611
363,173.3,135.77,1688373159.621
364,165.91,126.14,1688373159.625
365,143.34,111.5,1688373159.625
366,110.45,94.73,1688373159.627
367,82.54,78.25,1688373159.637
368,64.66,68.15,1688373159.64
369,55.1,60.98,1688373159.641
370,52.25,55.35,1688373159.642
371,52.47,45.83,1688373159.652
372,54.56,37.14,1688373159.656
373,55.53,27.01,1688373159.661
374,51.67,15.33,1688373159.661
375,38.94,6.85,1688373159.663
376,17.09,-1.62,1688373159.67
377,-4.72,-8.58,1688373159.676
378,-18.03,-14.57,1688373159.677
379,-17.42,-17.45,1688373159.678
380,-11.68,-22.03,1688373159.687
381,-16.05,-27.84,1688373159.692
382,-31.84,-36.35,1688373159.695
383,-51.02,-42.05,1688373159.696
384,-59.32,-44.14,1688373159.702
385,-55.42,-41.51,1688373159.703
386,-39.95,-35.19,1688373159.71
387,-29.86,-29.89,1688373159.711
388,-25.86,-30.15,1688373159.721
389,-34.37,-35.7,1688373159.728
390,-47.6,-43.38,1688373159.728
391,-61.05,-49.4,1688373159.732
392,-63.21,-52.03,1688373159.733
393,-52.32,-47.06,1688373159.74
394,-33.36,-39.49,1688373159.743
395,-22.9,-32.09,1688373159.749
396,-27.33,-29.17,1688373159.757
397,-43.34,-32.17,1688373159.757
398,-56.11,-36.24,1688373159.761
399,-53.98,-36.38,1688373159.765
400,-39.49,-34.76,1688373159.765
401,-25.06,-31.55,1688373159.775
402,-20.34,-32.42,1688373159.777
403,-30.29,-35.48,1688373159.783
404,-42.88,-39.02,1688373159.783
405,-45.47,-37.11,1688373159.791
406,-37.54,-32.81,1688373159.792
407,-23.91,-27.15,1688373159.795
408,-22.61,-27.95,1688373159.797
409,-34.22,-34.58,1688373159.797
410,-51.46,-40.86,1688373159.799
411,-61.88,-44.43,1688373159.81
412,-61.19,-43.34,1688373159.813
413,-53.69,-38.8,1688373159.814
414,-47.82,-34.37,1688373159.818
415,-44.21,-32.6,1688373159.829
416,-40.24,-32.89,1688373159.831
417,-37.03,-33.14,1688373159.836
418,-35.59,-34.76,1688373159.838
419,-39.92,-35.56,1688373159.844
420,-44.89,-34.58,1688373159.85
421,-45.22,-30.29,1688373159.854
422,-37.72,-27.95,1688373159.854
423,-29.14,-28.67,1688373159.859
424,-27.01,-33.03,1688373159.863
425,-32.49,-34.73,1688373159.931
426,-39.49,-31.12,1688373159.933
427,-40.68,-25.21,1688373159.954
428,-33.32,-18.57,1688373159.957
429,-25.42,-20.34,1688373159.957
430,-26.97,-27.8,1688373159.957
431,-38.33,-37.43,1688373159.957
432,-50.66,-42.23,1688373159.957
433,-56.15,-42.59,1688373159.957
434,-51.46,-37.39,1688373159.957
435,-42.05,-31.23,1688373159.957
436,-36.56,-25.89,1688373159.958
437,-37.47,-22.29,1688373159.969
438,-40.89,-22.1,1688373159.969
439,-43.45,-22.61,1688373159.969
440,-38.26,-21.74,1688373159.969
441,-30.25,-21.53,1688373159.969
442,-26.43,-21.17,1688373159.969
443,-29.57,-22.14,1688373159.969
444,-42.08,-28.09,1688373159.969
445,-54.7,-31.34,1688373159.969
446,-58.89,-32.38,1688373159.972
447,-52.11,-24.59,1688373159.972
448,-41.76,-18.97,1688373159.972
449,-36.06,-18.03,1688373159.972
450,-37.03,-18.61,1688373159.972
451,-41.18,-24.45,1688373159.974
