,Left_ch,Right_ch,time
0,-64.15,-66.17,1689319161.556
1,-61.23,-92.6,1689319161.558
2,-61.05,-107.21,1689319161.57
3,-58.74,-95.81,1689319161.572
4,-56.9,-65.02,1689319161.573
5,-54.05,-27.59,1689319161.577
6,-51.93,-6.64,1689319161.578
7,-50.95,-5.3,1689319161.587
8,-51.39,-16.12,1689319161.593
9,-51.53,-18.93,1689319161.596
10,-52.29,-13.99,1689319161.596
11,-51.78,-1.98,1689319161.597
12,-51.24,4.94,1689319161.606
13,-52.43,3.68,1689319161.608
14,-55.21,-0.32,1689319161.61
15,-57.8,-1.66,1689319161.614
16,-60.91,0.97,1689319161.614
17,-60.58,3.93,1689319161.624
18,-60.4,6.2,1689319161.626
19,-58.16,6.17,1689319161.637
20,-56.36,5.52,1689319161.638
21,-53.51,6.38,1689319161.643
22,-49.91,8.8,1689319161.646
23,-46.05,9.2,1689319161.649
24,-42.19,9.63,1689319161.651
25,-40.39,9.34,1689319161.658
26,-41.0,7.97,1689319161.662
27,-47.53,6.2,1689319161.663
28,-56.76,3.39,1689319161.666
29,-64.48,-0.22,1689319161.668
30,-69.13,-2.31,1689319161.674
31,-67.43,-2.88,1689319161.678
32,-61.73,-1.44,1689319161.683
33,-60.26,-0.9,1689319161.686
34,-61.01,-4.72,1689319161.716
35,-65.45,-7.97,1689319161.743
36,-65.67,-10.35,1689319161.748
37,-62.85,-6.38,1689319161.754
38,-57.34,-3.89,1689319161.754
39,-52.68,-3.35,1689319161.754
40,-53.4,-12.48,1689319161.754
41,-55.64,-23.51,1689319161.754
42,-57.73,-29.39,1689319161.754
43,-55.82,-26.22,1689319161.754
44,-52.5,-16.34,1689319161.756
45,-49.29,-10.24,1689319161.765
46,-50.45,-8.8,1689319161.765
47,-54.49,-10.2,1689319161.765
48,-58.67,-6.82,1689319161.765
49,-58.06,-0.25,1689319161.765
50,-53.91,6.49,1689319161.766
51,-45.0,11.14,1689319161.766
52,-36.02,12.26,1689319161.766
53,-28.96,15.54,1689319161.769
54,-22.0,27.26,1689319161.772
55,-13.31,42.55,1689319161.782
56,-3.57,56.97,1689319161.813
57,7.5,67.14,1689319161.817
58,18.43,72.05,1689319161.817
59,27.95,76.63,1689319161.818
60,39.34,86.54,1689319161.822
61,55.06,100.64,1689319161.822
62,77.67,121.23,1689319161.822
63,101.87,142.91,1689319161.823
64,120.22,162.81,1689319161.823
65,128.37,181.92,1689319161.823
66,124.3,196.6,1689319161.823
67,116.55,207.02,1689319161.823
68,113.08,212.57,1689319161.823
69,116.19,219.86,1689319161.833
70,123.0,227.5,1689319161.836
71,126.57,230.32,1689319161.843
72,121.67,229.38,1689319161.849
73,112.0,221.84,1689319161.849
74,101.04,209.54,1689319161.853
75,91.84,196.02,1689319161.858
76,83.8,179.33,1689319161.867
77,74.28,159.71,1689319161.868
78,60.04,136.09,1689319161.87
79,43.16,115.25,1689319161.872
80,27.05,96.24,1689319161.874
81,12.22,84.34,1689319161.878
82,-1.01,71.18,1689319161.888
83,-11.68,59.9,1689319161.893
